OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,TotalAmount,Status,PaymentMethod,ShippingCity
ORD_000027,CUST_0363,PROD_0019,3/19/2024,2,3076.29,6152.58,delivered,COD,Rourkela
ORD_000028,CUST_0069,PROD_0050,2024-07-08,4,5616.14,22464.56,SHIPPED,Credit Card,Kota
ORD_000029,CUST_0434,PROD_0048,2024-03-04,1,9229.04,9229.04,PENDING,,Rampur
ORD_000030,CUST_0345,PROD_0078,2024-08-10,1,2756.77,2756.77,DELIVERED,Credit Card,
ORD_000031,CUST_0107,PROD_0043,6/5/2024,5,2247.46,11237.3,delivered,Credit Card,Surat
ORD_000032,CUST_0387,PROD_0062,2024-07-13,1,7493.1,7493.1,shipped,Net Banking,Sikar
ORD_000033,CUST_0145,PROD_0049,11/8/2024,5,3282.99,16414.95,PENDING,,Ozhukarai
ORD_000034,CUST_0263,PROD_0064,12/22/2024,3,2688.46,8065.38,DELIVERED,,Kozhikode
ORD_000035,CUST_0190,PROD_0041,1/30/2024,3,9150.87,27452.61,delivered,COD,Guntur
ORD_000036,CUST_0284,PROD_0075,12/22/2024,2,259.58,519.16,SHIPPED,Credit Card,Ratlam
ORD_000037,CUST_0292,PROD_0032,12/1/2024,3,2376.18,7128.54,PENDING,,
ORD_000038,CUST_0421,PROD_0063,5/6/2024,3,2646.53,7939.59,pending,Credit Card,
ORD_000039,CUST_0369,PROD_0070,11/13/2024,3,1774.73,5324.19,Delivered,COD,
ORD_000040,CUST_0430,PROD_0010,2024-06-17,1,5286.05,5286.05,delivered,Net Banking,Jhansi
ORD_000041,CUST_0078,PROD_0002,2024-12-15,2,771.88,1543.76,PENDING,Net Banking,Jehanabad
ORD_000042,CUST_0342,PROD_0079,6/26/2024,1,6215.57,6215.57,pending,UPI,Firozabad
ORD_000043,CUST_0007,PROD_0003,12/24/2024,5,5560.27,27801.35,PENDING,Debit Card,Naihati
ORD_000044,CUST_0346,PROD_0056,2024-03-28,5,8149.26,40746.3,DELIVERED,UPI,
ORD_000045,CUST_0318,PROD_0068,7/22/2024,2,2484.59,4969.18,cancelled,Debit Card,Udupi
ORD_000046,CUST_0208,PROD_0059,2024-09-13,1,3792.21,3792.21,shipped,Debit Card,
ORD_000047,CUST_0440,PROD_0084,2024-07-14,1,6570.98,6570.98,DELIVERED,Net Banking,Nizamabad
ORD_000048,CUST_0029,PROD_0082,2024-06-20,4,5570.74,22282.96,Delivered,UPI,Mehsana
ORD_000049,CUST_0170,PROD_0073,2024-01-25,4,6483.58,25934.32,PENDING,UPI,Ramagundam
ORD_000050,CUST_0355,PROD_0073,6/9/2024,2,9021.6,18043.2,SHIPPED,UPI,Udaipur
ORD_000051,CUST_0289,PROD_0085,2024-06-03,3,9002.19,27006.57,Delivered,Debit Card,Anantapur
ORD_000052,CUST_0386,PROD_0092,1/7/2024,2,5910.66,11821.32,DELIVERED,Debit Card,Buxar
ORD_000053,CUST_0428,PROD_0050,12/15/2024,5,2479.67,12398.35,Cancelled,,Rajahmundry
ORD_000054,CUST_0499,PROD_0045,2024-12-25,1,5056.85,5056.85,DELIVERED,Net Banking,Pune
ORD_000055,CUST_0394,PROD_0079,9/12/2024,1,3470.87,3470.87,cancelled,UPI,
ORD_000056,CUST_0231,PROD_0063,2024-08-01,3,7856.13,23568.39,cancelled,COD,Agra
ORD_000057,CUST_0300,PROD_0085,4/29/2024,4,1937.8,7751.2,DELIVERED,COD,Ludhiana
ORD_000058,CUST_0043,PROD_0035,2024-09-06,2,7158.77,14317.54,Cancelled,,
ORD_000059,CUST_0163,PROD_0047,2024-12-14,2,7421.59,14843.18,DELIVERED,UPI,Aurangabad
ORD_000060,CUST_0139,PROD_0014,2024-04-09,4,3662.18,14648.72,DELIVERED,Credit Card,Anantapur
ORD_000061,CUST_0263,PROD_0053,2024-04-06,4,5613.15,22452.6,delivered,UPI,Rajkot
ORD_000062,CUST_0307,PROD_0042,10/22/2024,5,1020.34,5101.7,delivered,Debit Card,Bhopal
ORD_000063,CUST_0372,PROD_0072,2024-02-10,4,7812.77,31251.08,PENDING,Credit Card,
ORD_000064,CUST_0138,PROD_0039,6/21/2024,4,1777.07,7108.28,pending,Credit Card,Satara
ORD_000065,CUST_0216,PROD_0039,7/6/2024,2,4402.3,8804.6,DELIVERED,Debit Card,Udaipur
ORD_000066,CUST_0254,PROD_0077,2024-11-04,2,7235.9,14471.8,pending,UPI,Sambhal
ORD_000067,CUST_0203,PROD_0043,3/20/2024,3,166.0,498.0,cancelled,Net Banking,Saharanpur
ORD_000068,CUST_0441,PROD_0084,2024-09-08,4,8172.21,32688.84,SHIPPED,Debit Card,
ORD_000069,CUST_0091,PROD_0051,10/23/2024,2,4841.2,9682.4,SHIPPED,,
ORD_000070,CUST_0401,PROD_0032,5/25/2024,4,9679.85,38719.4,Cancelled,Debit Card,Kavali
ORD_000071,CUST_0289,PROD_0026,2024-01-11,3,1226.49,3679.47,PENDING,UPI,
ORD_000072,CUST_0108,PROD_0057,5/22/2024,4,9434.45,37737.8,DELIVERED,Net Banking,
ORD_000073,CUST_0156,PROD_0031,10/15/2024,4,1476.87,5907.48,Delivered,,Thrissur
ORD_000074,CUST_0307,PROD_0062,9/18/2024,4,831.25,3325.0,PENDING,COD,
ORD_000075,CUST_0405,PROD_0047,2024-03-11,4,5481.09,21924.36,DELIVERED,Credit Card,
ORD_000076,CUST_0314,PROD_0006,4/30/2024,3,1745.75,5237.25,cancelled,Net Banking,Vadodara
ORD_000077,CUST_0114,PROD_0066,2024-06-27,1,1075.2,1075.2,pending,Debit Card,Korba
ORD_000078,CUST_0302,PROD_0089,2024-10-26,4,7745.19,30980.76,cancelled,UPI,Hospet
ORD_000079,CUST_0472,PROD_0011,2024-05-12,1,3023.78,3023.78,Delivered,Debit Card,Haridwar
ORD_000080,CUST_0106,PROD_0067,4/9/2024,3,4606.79,13820.37,cancelled,Net Banking,Serampore
ORD_000081,CUST_0232,PROD_0041,2024-03-19,4,7246.74,28986.96,SHIPPED,UPI,
ORD_000082,CUST_0176,PROD_0083,2024-10-25,1,322.59,322.59,Delivered,,Bettiah
ORD_000083,CUST_0082,PROD_0043,1/15/2024,5,1826.09,9130.45,pending,Credit Card,Sonipat
ORD_000084,CUST_0337,PROD_0056,11/17/2024,2,1944.23,3888.46,delivered,,
ORD_000085,CUST_0220,PROD_0050,2024-06-16,2,4549.79,9099.58,shipped,Credit Card,Bhalswa Jahangir Pur
ORD_000086,CUST_0410,PROD_0069,2024-05-11,1,5814.74,5814.74,cancelled,Debit Card,Arrah
ORD_000087,CUST_0344,PROD_0063,7/23/2024,4,1227.15,4908.6,Cancelled,COD,Kolkata
ORD_000088,CUST_0181,PROD_0059,2024-06-07,5,1229.9,6149.5,SHIPPED,COD,
ORD_000089,CUST_0161,PROD_0016,2024-11-11,1,6752.89,6752.89,SHIPPED,UPI,Pali
ORD_000090,CUST_0262,PROD_0050,11/20/2024,3,6964.02,20892.06,Delivered,COD,Jalandhar
ORD_000091,CUST_0326,PROD_0069,2024-04-15,4,1937.96,7751.84,PENDING,Credit Card,Morbi
ORD_000092,CUST_0162,PROD_0058,2024-12-04,3,1487.94,4463.82,cancelled,UPI,Mira-Bhayandar
ORD_000093,CUST_0197,PROD_0072,12/28/2024,2,2030.77,4061.54,Cancelled,,Baranagar
ORD_000094,CUST_0228,PROD_0063,2024-02-27,4,7129.41,28517.64,DELIVERED,COD,Madanapalle
ORD_000095,CUST_0141,PROD_0029,6/2/2024,2,2990.69,5981.38,Delivered,Net Banking,
ORD_000096,CUST_0058,PROD_0074,2024-03-11,4,5541.29,22165.16,SHIPPED,COD,Guna
ORD_000097,CUST_0022,PROD_0098,4/24/2024,5,8242.85,41214.25,PENDING,Credit Card,Haldia
ORD_000098,CUST_0335,PROD_0097,2024-01-28,1,7385.29,7385.29,SHIPPED,UPI,South Dumdum
ORD_000099,CUST_0419,PROD_0012,7/9/2024,3,3549.91,10649.73,DELIVERED,Credit Card,Bhubaneswar
ORD_000100,CUST_0441,PROD_0091,8/1/2024,5,6921.42,34607.1,Delivered,COD,Shivpuri
ORD_000101,CUST_0413,PROD_0008,1/2/2024,2,8152.95,16305.9,PENDING,Debit Card,
ORD_000102,CUST_0361,PROD_0038,2/16/2024,5,1765.94,8829.7,SHIPPED,COD,
ORD_000103,CUST_0385,PROD_0053,2024-07-12,1,1441.33,1441.33,SHIPPED,,Vellore
ORD_000104,CUST_0365,PROD_0042,2024-08-09,2,2570.8,5141.6,Cancelled,Net Banking,Kozhikode
ORD_000105,CUST_0322,PROD_0054,9/6/2024,5,6359.78,31798.9,pending,UPI,
ORD_000106,CUST_0384,PROD_0036,4/4/2024,1,4087.22,4087.22,pending,Net Banking,Farrukhabad
ORD_000107,CUST_0397,PROD_0094,2024-12-01,5,123.48,617.4,pending,,
ORD_000108,CUST_0408,PROD_0069,3/17/2024,3,8515.05,25545.15,shipped,Net Banking,Khora 
ORD_000109,CUST_0425,PROD_0037,3/11/2024,4,2757.51,11030.04,PENDING,COD,Madhyamgram
ORD_000110,CUST_0404,PROD_0044,2024-10-01,5,8537.98,42689.9,delivered,UPI,
ORD_000111,CUST_0476,PROD_0021,1/20/2024,4,260.19,1040.76,pending,UPI,Ghaziabad
ORD_000112,CUST_0466,PROD_0017,8/12/2024,2,9956.37,19912.74,Delivered,Debit Card,Bijapur
ORD_000113,CUST_0191,PROD_0086,2024-07-07,3,2577.85,7733.55,delivered,Net Banking,
ORD_000114,CUST_0387,PROD_0030,8/17/2024,3,7286.28,21858.84,DELIVERED,,Jamalpur
ORD_000115,CUST_0040,PROD_0017,2024-05-30,1,2211.87,2211.87,PENDING,,Rampur
ORD_000116,CUST_0176,PROD_0016,9/14/2024,1,178.82,178.82,Delivered,Net Banking,Faridabad
ORD_000117,CUST_0375,PROD_0014,2024-10-15,2,3891.39,7782.78,cancelled,Debit Card,Bangalore
ORD_000118,CUST_0417,PROD_0097,2024-09-01,2,3887.94,7775.88,Delivered,UPI,
ORD_000119,CUST_0333,PROD_0022,4/13/2024,5,182.9,914.5,cancelled,,Coimbatore
ORD_000120,CUST_0316,PROD_0088,2/14/2024,2,9205.95,18411.9,shipped,UPI,Guntakal
ORD_000121,CUST_0302,PROD_0094,1/23/2024,2,7548.21,15096.42,cancelled,Net Banking,Bhiwani
ORD_000122,CUST_0331,PROD_0011,2024-10-23,2,2552.09,5104.18,PENDING,COD,
ORD_000123,CUST_0482,PROD_0089,2024-06-22,5,2919.72,14598.6,SHIPPED,Credit Card,
ORD_000124,CUST_0383,PROD_0051,5/30/2024,5,5143.27,25716.35,delivered,Credit Card,Bhind
ORD_000125,CUST_0256,PROD_0082,2024-05-08,4,1215.16,4860.64,PENDING,UPI,Chennai
ORD_000126,CUST_0441,PROD_0073,2/21/2024,3,1405.63,4216.89,cancelled,COD,
ORD_000127,CUST_0489,PROD_0099,2024-12-24,2,7649.99,15299.98,delivered,COD,Gandhidham
ORD_000128,CUST_0021,PROD_0008,5/25/2024,1,2694.63,2694.63,PENDING,Debit Card,
ORD_000129,CUST_0217,PROD_0090,1/9/2024,5,7693.39,38466.95,DELIVERED,,
ORD_000130,CUST_0143,PROD_0011,11/11/2024,5,6197.87,30989.35,DELIVERED,COD,Berhampur
ORD_000131,CUST_0201,PROD_0076,2024-09-27,2,5409.26,10818.52,SHIPPED,,Gurgaon
ORD_000132,CUST_0045,PROD_0056,2024-07-08,2,672.27,1344.54,pending,COD,
ORD_000133,CUST_0380,PROD_0085,2024-10-12,1,3160.97,3160.97,DELIVERED,UPI,
ORD_000134,CUST_0084,PROD_0064,12/22/2024,2,7043.85,14087.7,PENDING,COD,
ORD_000135,CUST_0065,PROD_0096,9/27/2024,3,1751.93,5255.79,DELIVERED,UPI,Siwan
ORD_000136,CUST_0033,PROD_0034,2024-10-07,4,2791.61,11166.44,pending,Net Banking,
ORD_000137,CUST_0440,PROD_0073,2024-11-14,3,647.85,1943.55,cancelled,Credit Card,Solapur
ORD_000138,CUST_0346,PROD_0093,2024-07-10,1,8952.26,8952.26,shipped,,
ORD_000139,CUST_0442,PROD_0002,2024-08-24,1,534.98,534.98,delivered,Net Banking,Agartala
ORD_000140,CUST_0092,PROD_0005,6/9/2024,4,9209.24,36836.96,shipped,Debit Card,Arrah
ORD_000141,CUST_0164,PROD_0035,2024-04-22,4,9165.96,36663.84,cancelled,UPI,
ORD_000142,CUST_0412,PROD_0067,2024-09-15,1,1874.51,1874.51,Cancelled,UPI,Bellary
ORD_000143,CUST_0160,PROD_0042,2024-01-15,3,7756.92,23270.76,PENDING,Net Banking,Mirzapur
ORD_000144,CUST_0289,PROD_0039,2024-04-19,3,2085.64,6256.92,pending,Debit Card,
ORD_000145,CUST_0398,PROD_0026,2024-01-22,4,9977.09,39908.36,Delivered,UPI,Vasai-Virar
ORD_000146,CUST_0178,PROD_0082,2024-09-05,1,2405.68,2405.68,cancelled,UPI,
ORD_000147,CUST_0373,PROD_0040,2024-02-04,4,8504.16,34016.64,shipped,COD,Machilipatnam
ORD_000148,CUST_0031,PROD_0019,5/20/2024,4,4970.09,19880.36,DELIVERED,UPI,Bikaner
ORD_000149,CUST_0459,PROD_0048,5/16/2024,5,4188.26,20941.3,DELIVERED,COD,Saharanpur
ORD_000150,CUST_0420,PROD_0051,2024-03-20,5,1420.79,7103.95,delivered,Net Banking,
ORD_000151,CUST_0134,PROD_0041,9/26/2024,2,2443.04,4886.08,cancelled,Debit Card,Munger
ORD_000152,CUST_0484,PROD_0026,2024-06-11,3,2411.75,7235.25,DELIVERED,Credit Card,Orai
ORD_000153,CUST_0161,PROD_0053,2024-03-31,2,4549.71,9099.42,PENDING,Debit Card,Jalandhar
ORD_000154,CUST_0136,PROD_0016,2024-03-05,4,3151.25,12605.0,Delivered,,Yamunanagar
ORD_000155,CUST_0428,PROD_0042,2024-10-27,5,498.27,2491.35,DELIVERED,,Udaipur
ORD_000156,CUST_0026,PROD_0087,3/1/2024,3,4021.82,12065.46,SHIPPED,Credit Card,Vellore
ORD_000157,CUST_0285,PROD_0096,2024-12-19,4,8559.55,34238.2,DELIVERED,Net Banking,Raipur
ORD_000158,CUST_0032,PROD_0100,2024-08-13,2,1301.39,2602.78,Delivered,Credit Card,Bardhaman
ORD_000159,CUST_0481,PROD_0083,2024-09-17,3,6893.22,20679.66,SHIPPED,UPI,Sangli-Miraj & Kupwad
ORD_000160,CUST_0331,PROD_0057,2024-08-13,1,2056.73,2056.73,DELIVERED,Debit Card,Morbi
ORD_000161,CUST_0026,PROD_0022,8/30/2024,1,9427.58,9427.58,Cancelled,Net Banking,Satna
ORD_000162,CUST_0089,PROD_0046,2024-12-04,4,6862.81,27451.24,Delivered,Debit Card,Udaipur
ORD_000163,CUST_0018,PROD_0079,2024-07-24,4,8844.9,35379.6,SHIPPED,Net Banking,Vellore
ORD_000164,CUST_0045,PROD_0036,8/23/2024,5,4841.41,24207.05,Delivered,Net Banking,Malegaon
ORD_000165,CUST_0411,PROD_0070,2024-06-09,5,2565.56,12827.8,Cancelled,,Kochi
ORD_000166,CUST_0249,PROD_0045,7/29/2024,4,5489.73,21958.92,Cancelled,Debit Card,Chandigarh
ORD_000167,CUST_0113,PROD_0004,12/11/2024,1,3255.89,3255.89,delivered,Net Banking,
ORD_000168,CUST_0120,PROD_0021,2024-02-22,3,7690.74,23072.22,shipped,,Ambala
ORD_000169,CUST_0406,PROD_0095,2024-12-15,3,5382.53,16147.59,shipped,COD,Ambattur
ORD_000170,CUST_0433,PROD_0023,2024-03-13,3,9357.54,28072.62,shipped,COD,Bettiah
ORD_000171,CUST_0015,PROD_0091,3/31/2024,3,9147.4,27442.2,Delivered,COD,Proddatur
ORD_000172,CUST_0090,PROD_0063,2024-01-09,4,5466.03,21864.12,DELIVERED,UPI,Mathura
ORD_000173,CUST_0270,PROD_0062,2024-12-14,5,2265.21,11326.05,cancelled,COD,Bhind
ORD_000174,CUST_0091,PROD_0042,2024-01-17,2,3472.51,6945.02,delivered,Credit Card,
ORD_000175,CUST_0434,PROD_0068,10/29/2024,2,7765.23,15530.46,DELIVERED,Debit Card,
ORD_000176,CUST_0173,PROD_0039,5/28/2024,4,5900.56,23602.24,Delivered,Credit Card,
ORD_000177,CUST_0492,PROD_0063,9/1/2024,4,7938.24,31752.96,Delivered,,
ORD_000178,CUST_0115,PROD_0086,2024-09-17,5,7890.22,39451.1,Cancelled,Debit Card,
ORD_000179,CUST_0374,PROD_0001,12/19/2024,3,1359.75,4079.25,delivered,Credit Card,
ORD_000180,CUST_0496,PROD_0079,2024-07-20,3,9217.28,27651.84,DELIVERED,Net Banking,Bhagalpur
ORD_000181,CUST_0122,PROD_0045,9/4/2024,3,7477.9,22433.7,Delivered,,Mehsana
ORD_000182,CUST_0136,PROD_0027,2024-08-19,3,4520.64,13561.92,DELIVERED,Debit Card,Kozhikode
ORD_000183,CUST_0025,PROD_0050,3/7/2024,1,7231.09,7231.09,Cancelled,Credit Card,Chandigarh
ORD_000184,CUST_0180,PROD_0070,10/18/2024,4,8828.53,35314.12,DELIVERED,Net Banking,
ORD_000185,CUST_0038,PROD_0005,5/5/2024,2,1709.3,3418.6,delivered,Debit Card,Ghaziabad
ORD_000186,CUST_0088,PROD_0049,2024-05-17,1,833.58,833.58,DELIVERED,COD,Ranchi
ORD_000187,CUST_0315,PROD_0062,2024-01-23,3,5979.9,17939.7,Cancelled,,Sultan Pur Majra
ORD_000188,CUST_0081,PROD_0007,2024-08-04,5,8907.56,44537.8,cancelled,Credit Card,Tirunelveli
ORD_000189,CUST_0370,PROD_0094,1/7/2024,4,7001.25,28005.0,SHIPPED,Debit Card,Giridih
ORD_000190,CUST_0293,PROD_0071,1/31/2024,1,590.39,590.39,Delivered,UPI,Parbhani
ORD_000191,CUST_0151,PROD_0085,5/11/2024,1,4332.3,4332.3,shipped,UPI,Jaipur
ORD_000192,CUST_0150,PROD_0011,10/30/2024,2,1790.24,3580.48,DELIVERED,Debit Card,Ramgarh
ORD_000193,CUST_0339,PROD_0034,2024-03-05,4,4941.06,19764.24,PENDING,Net Banking,Bikaner
ORD_000194,CUST_0190,PROD_0024,7/13/2024,3,8865.38,26596.14,delivered,Debit Card,Sangli-Miraj & Kupwad
ORD_000195,CUST_0429,PROD_0035,2024-10-07,4,2706.67,10826.68,Delivered,,
ORD_000196,CUST_0177,PROD_0070,3/7/2024,1,947.5,947.5,shipped,COD,Kanpur
ORD_000197,CUST_0215,PROD_0069,8/14/2024,4,8201.21,32804.84,shipped,Net Banking,Kolhapur
ORD_000198,CUST_0438,PROD_0092,2024-08-27,1,4007.56,4007.56,PENDING,COD,
ORD_000199,CUST_0318,PROD_0019,2024-12-21,5,6806.6,34033.0,pending,Credit Card,Agartala
ORD_000200,CUST_0065,PROD_0006,9/4/2024,2,8102.76,16205.52,DELIVERED,,Dindigul
ORD_000201,CUST_0322,PROD_0019,10/14/2024,2,9971.97,19943.94,cancelled,,Phusro
ORD_000202,CUST_0204,PROD_0071,4/27/2024,1,3941.18,3941.18,SHIPPED,COD,Jhansi
ORD_000203,CUST_0320,PROD_0076,3/30/2024,1,7885.85,7885.85,DELIVERED,Net Banking,Purnia
ORD_000204,CUST_0299,PROD_0098,2024-09-28,2,5708.28,11416.56,DELIVERED,COD,Ulhasnagar
ORD_000205,CUST_0451,PROD_0045,8/21/2024,3,8687.01,26061.03,SHIPPED,Net Banking,
ORD_000206,CUST_0243,PROD_0005,2024-08-31,4,5762.03,23048.12,SHIPPED,Net Banking,Dharmavaram
ORD_000207,CUST_0356,PROD_0052,2024-03-14,5,6124.69,30623.45,Cancelled,Debit Card,
ORD_000208,CUST_0244,PROD_0035,8/2/2024,2,586.98,1173.96,delivered,Debit Card,Visakhapatnam
ORD_000209,CUST_0252,PROD_0090,2024-08-30,3,2874.43,8623.29,shipped,Credit Card,Bhubaneswar
ORD_000210,CUST_0165,PROD_0035,7/27/2024,4,7761.91,31047.64,DELIVERED,Credit Card,Srinagar
ORD_000211,CUST_0209,PROD_0095,7/26/2024,2,9141.98,18283.96,PENDING,Debit Card,Rajahmundry
ORD_000212,CUST_0034,PROD_0040,2/3/2024,5,7934.75,39673.75,Delivered,COD,
ORD_000213,CUST_0449,PROD_0026,2024-11-12,1,1819.0,1819.0,shipped,UPI,Gangtok
ORD_000214,CUST_0361,PROD_0026,11/19/2024,1,9187.51,9187.51,cancelled,Net Banking,
ORD_000215,CUST_0064,PROD_0088,2024-03-08,4,6389.56,25558.24,shipped,Debit Card,Eluru
ORD_000216,CUST_0492,PROD_0061,3/13/2024,5,4515.42,22577.1,cancelled,Credit Card,Udaipur
ORD_000217,CUST_0198,PROD_0007,2024-02-13,1,2921.19,2921.19,shipped,Credit Card,
ORD_000218,CUST_0138,PROD_0084,6/4/2024,2,6808.18,13616.36,PENDING,UPI,
ORD_000219,CUST_0068,PROD_0083,2024-09-03,1,4792.56,4792.56,delivered,Credit Card,Erode
ORD_000220,CUST_0157,PROD_0092,7/3/2024,5,8069.35,40346.75,Cancelled,Net Banking,Noida
ORD_000221,CUST_0239,PROD_0039,11/20/2024,4,2593.79,10375.16,DELIVERED,UPI,
ORD_000222,CUST_0305,PROD_0078,3/23/2024,3,5657.43,16972.29,SHIPPED,,Gopalpur
ORD_000223,CUST_0142,PROD_0082,3/17/2024,4,730.99,2923.96,SHIPPED,Debit Card,
ORD_000224,CUST_0265,PROD_0098,2024-07-05,3,1963.76,5891.28,delivered,COD,Ranchi
ORD_000225,CUST_0370,PROD_0004,10/18/2024,3,6838.48,20515.44,SHIPPED,Debit Card,Chennai
ORD_000226,CUST_0019,PROD_0075,2024-02-19,4,3942.92,15771.68,cancelled,,
ORD_000227,CUST_0327,PROD_0061,11/3/2024,2,6893.55,13787.1,PENDING,Debit Card,Panipat
ORD_000228,CUST_0050,PROD_0061,2024-02-16,5,1892.24,9461.2,SHIPPED,,
ORD_000229,CUST_0461,PROD_0043,2024-01-30,2,9473.54,18947.08,shipped,Debit Card,Ozhukarai
ORD_000230,CUST_0455,PROD_0043,3/26/2024,3,4261.68,12785.04,SHIPPED,COD,Muzaffarnagar
ORD_000231,CUST_0241,PROD_0007,2024-04-17,4,8526.02,34104.08,pending,Credit Card,
ORD_000232,CUST_0196,PROD_0068,1/14/2024,1,8687.23,8687.23,Cancelled,UPI,Uluberia
ORD_000233,CUST_0176,PROD_0053,9/19/2024,2,9923.24,19846.48,Delivered,Debit Card,
ORD_000234,CUST_0250,PROD_0043,2024-08-09,2,7810.52,15621.04,cancelled,,Thanjavur
ORD_000235,CUST_0108,PROD_0098,2024-06-01,1,4574.33,4574.33,Delivered,Net Banking,Pali
ORD_000236,CUST_0325,PROD_0055,7/29/2024,2,6182.35,12364.7,Cancelled,Net Banking,Thanjavur
ORD_000237,CUST_0103,PROD_0094,5/11/2024,1,472.48,472.48,delivered,Debit Card,
ORD_000238,CUST_0003,PROD_0081,2024-05-01,2,276.37,552.74,shipped,,Guntakal
ORD_000239,CUST_0197,PROD_0065,2/14/2024,3,1375.41,4126.23,Delivered,UPI,Thanjavur
ORD_000240,CUST_0234,PROD_0094,5/3/2024,3,9488.79,28466.37,Cancelled,,Berhampore
ORD_000241,CUST_0251,PROD_0046,2024-08-30,3,9960.78,29882.34,Delivered,Net Banking,Morbi
ORD_000242,CUST_0068,PROD_0028,2024-09-12,2,2319.78,4639.56,PENDING,Credit Card,Cuttack
ORD_000243,CUST_0406,PROD_0005,7/23/2024,3,7138.99,21416.97,SHIPPED,COD,
ORD_000244,CUST_0025,PROD_0085,2024-12-07,1,5978.85,5978.85,delivered,UPI,
ORD_000245,CUST_0195,PROD_0016,7/4/2024,1,4225.08,4225.08,pending,,Kolhapur
ORD_000246,CUST_0323,PROD_0002,5/20/2024,2,6981.4,13962.8,Cancelled,,Shimla
ORD_000247,CUST_0311,PROD_0090,2024-09-12,5,2771.77,13858.85,Cancelled,UPI,
ORD_000248,CUST_0059,PROD_0014,9/10/2024,5,1264.57,6322.85,shipped,COD,Barasat
ORD_000249,CUST_0499,PROD_0026,2/25/2024,3,8330.84,24992.52,Cancelled,Debit Card,Ratlam
ORD_000250,CUST_0467,PROD_0027,4/12/2024,1,5525.57,5525.57,cancelled,Credit Card,Raichur
ORD_000251,CUST_0465,PROD_0015,10/8/2024,1,6748.17,6748.17,Delivered,UPI,
ORD_000252,CUST_0052,PROD_0033,2024-11-06,1,7262.28,7262.28,pending,Debit Card,Kavali
ORD_000253,CUST_0417,PROD_0023,2024-08-20,4,594.79,2379.16,SHIPPED,Debit Card,
ORD_000254,CUST_0060,PROD_0013,2024-12-28,3,4316.35,12949.05,delivered,Credit Card,
ORD_000255,CUST_0458,PROD_0057,12/18/2024,2,3352.74,6705.48,DELIVERED,Debit Card,Vasai-Virar
